rep,delta_auroc,delta_auprc,delta_logloss_plus_risk_minus_quality
1154,0.02391573080753806,0.05906452500138226,-0.02779376622942964
1155,0.02827166838453299,0.06694989002358287,-0.0310231284880344
1156,0.028609807405864718,0.07078890730455978,-0.031302379504832556
1157,0.02392334790032402,0.06663942407201762,-0.02905088638626513
1158,0.025786736989074743,0.06411655233956093,-0.03125240099148918
1159,0.026935071114013054,0.06431611499901213,-0.029985651101670008
1160,0.0323146977436819,0.07798196195788865,-0.03640657829825805
1161,0.02932137156320902,0.07313424609950603,-0.03201507642040474
1162,0.031166333756104114,0.07623566689969008,-0.03529645006055854
1163,0.0261810498402526,0.07263175802907029,-0.03126254088558961
1164,0.02419329980697238,0.06436653682366555,-0.02623569479343224
1165,0.023201560470829663,0.06507196533504278,-0.025572354476374737
1166,0.028261038586877674,0.07938781601576361,-0.031177984488292176
1167,0.03164617196737174,0.07886494380259046,-0.035101426121021906
1168,0.029598412802607,0.07726871616289743,-0.031162790413871266
1169,0.034945507912646945,0.0851462948013747,-0.04073032529906684
1170,0.025627497295745982,0.06692225583838463,-0.027412609924429787
1171,0.02891169557836215,0.06743331493015581,-0.034181460089506954
1172,0.030743912394146422,0.07845959776155198,-0.032776315792291344
1173,0.028033255162648762,0.07728613401567763,-0.03040909443266676
1174,0.02822655210541547,0.06805888907709634,-0.030601404855152614
1175,0.0288978632047715,0.07583470717156138,-0.03196003354597543
1176,0.026864288656849866,0.07435375944295275,-0.030780135836805278
1177,0.029827658821377057,0.06790750734296014,-0.03181158093446618
1178,0.02307268453210498,0.06461811081280289,-0.0270990423903662
1179,0.031109813312041545,0.07651290387980048,-0.03508604140668031
1180,0.025442056740155206,0.06200551512968866,-0.028726901635244773
1181,0.03133653919003965,0.08171140190876347,-0.03480417926275725
1182,0.028945988519295196,0.07038368891780566,-0.03193058724346526
1183,0.028099866480156388,0.07174797446857428,-0.031127132872103613
1184,0.02848833274401552,0.06681215036133237,-0.033203154385505806
1185,0.02717372505507243,0.06641536781463453,-0.0299389841420441
1186,0.02808116197551158,0.0724654241869378,-0.031013778147215787
1187,0.027029852379421793,0.06993228019217379,-0.030307632225948067
1188,0.031773635080132645,0.07662686542383057,-0.03384517419211819
1189,0.02671826558844903,0.06486335840617408,-0.030605956937631684
1190,0.024635474348726927,0.06734811617014935,-0.03010441518551321
1191,0.027712394288481268,0.06790595275307243,-0.03162135413654571
1192,0.028508902347144316,0.07298176979538507,-0.03339167082626732
1193,0.029048311904756097,0.0738762471829969,-0.03223332510883603
1194,0.02584271474284694,0.06612516876043284,-0.028790433316361552
1195,0.029637370478121983,0.0735046801115733,-0.0340359994907759
1196,0.02757711303395971,0.06918561996898465,-0.032220794067429614
1197,0.02705196203212279,0.06916143455108748,-0.028814862434601296
1198,0.0341372066864003,0.07822777571498218,-0.03842664343771851
1199,0.02512797249585763,0.06303837675109492,-0.02779625387784429
1200,0.028388704945426113,0.07003762475624054,-0.031145214786767794
1201,0.029035115589389315,0.06877226132310588,-0.03428855070276182
1202,0.023287940557001563,0.05883810434843184,-0.02638081092248612
1203,0.025933583141200645,0.0660476327303785,-0.030190494461718786
1204,0.028806417002614992,0.06854085879358796,-0.031516372044047836
1205,0.02627311058348103,0.06906977988482388,-0.029588520607939595
1206,0.026506633290252823,0.06907240038515783,-0.029662238984412004
1207,0.027586467653296642,0.0719549042580866,-0.03275848296237638
1208,0.035832506819690635,0.0830192338079303,-0.039141814625237026
1209,0.026172200584513194,0.06330256426168313,-0.029450596638331827
1210,0.025995796369327473,0.06532357589090532,-0.03055127412538744
1211,0.029937223308153182,0.07965183967368195,-0.03249821144544174
1212,0.030451238341663855,0.074624830300688,-0.03395183810629682
1213,0.02902859938200264,0.07237446445502072,-0.03165217371422707
