setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean_delta,ci95_low,ci95_high
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,prevented_harm_fraction,2000,0.1984544149858967,0.1379098276650427,0.2559231966535337
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,withheld_benefit_fraction,2000,-0.03707346061477416,-0.07627781723944935,0.00468361973668768
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_deployed_dice,2000,0.026337103082466482,0.01918931072261372,0.033588784206229634
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_source,2000,0.02633710308246648,0.019189310722613675,0.033588784206229655
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_adapt_all,2000,0.026337103082466482,0.01918931072261372,0.033588784206229634
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,harm_rate_among_adapted,2000,-0.13489009826152681,-0.168901171579743,-0.09258125472411192
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,benefit_rate_among_adapted,2000,0.07651547619047619,0.03182067271352984,0.1253221844293273
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,prevented_harm_fraction,2000,0.18019072680239248,0.12148525308115657,0.23044600723172143
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,withheld_benefit_fraction,2000,-0.07827800053535522,-0.11954550127679436,-0.03628538239692373
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_deployed_dice,2000,0.030656500744136856,0.022617396309679644,0.03857685971204507
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_source,2000,0.030656500744136856,0.0226173963096797,0.03857685971204504
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_adapt_all,2000,0.030656500744136856,0.022617396309679644,0.03857685971204507
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,harm_rate_among_adapted,2000,-0.15375668934240364,-0.20714285714285713,-0.0893424036281179
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,benefit_rate_among_adapted,2000,0.1932674603174603,0.11699829931972791,0.27914399092970515
